Month-Year,Month,Year,airline_total,airline_international,airline_domestic
1-2017,1,2017,62620000.0,8510000.0,54110000.0
2-2017,2,2017,58380000.0,7300000.0,51080000.0
3-2017,3,2017,72960000.0,9000000.0,63960000.0
4-2017,4,2017,70260000.0,9160000.0,61100000.0
5-2017,5,2017,73680000.0,9240000.0,64440000.0
6-2017,6,2017,77010000.0,10260000.0,66750000.0
7-2017,7,2017,79820000.0,11240000.0,68580000.0
8-2017,8,2017,77100000.0,10440000.0,66670000.0
9-2017,9,2017,64920000.0,7770000.0,57150000.0
10-2017,10,2017,72700000.0,8080000.0,64629999.99999999
11-2017,11,2017,69630000.0,7720000.0,61910000.0
12-2017,12,2017,70330000.0,8960000.0,61370000.0
1-2018,1,2018,64430000.00000001,8600000.0,55830000.0
2-2018,2,2018,61720000.0,7640000.0,54080000.0
3-2018,3,2018,76290000.0,9650000.0,66640000.0
4-2018,4,2018,73630000.0,9070000.0,64560000.0
5-2018,5,2018,77300000.0,9450000.0,67840000.0
6-2018,6,2018,80880000.0,10610000.0,70280000.0
7-2018,7,2018,83960000.0,11420000.0,72540000.0
8-2018,8,2018,80990000.0,10650000.0,70340000.0
9-2018,9,2018,68700000.0,8230000.0,60470000.0
10-2018,10,2018,75510000.0,8420000.0,67080000.0
11-2018,11,2018,72740000.0,8080000.0,64660000.0
12-2018,12,2018,72880000.0,9240000.0,63650000.0
1-2019,1,2019,67019999.99999999,8980000.0,58030000.0
2-2019,2,2019,63580000.0,7900000.0,55680000.0
3-2019,3,2019,80210000.0,9980000.0,70230000.0
4-2019,4,2019,76430000.0,9490000.0,66940000.0
5-2019,5,2019,81350000.0,9980000.0,71370000.0
6-2019,6,2019,83840000.0,11050000.0,72790000.0
7-2019,7,2019,86960000.0,11670000.0,75280000.0
8-2019,8,2019,83780000.0,11070000.0,72720000.0
9-2019,9,2019,72590000.0,8610000.0,63980000.0
10-2019,10,2019,78620000.0,8690000.0,69920000.0
11-2019,11,2019,73070000.0,8260000.0,64819999.99999999
12-2019,12,2019,79300000.0,9580000.0,69720000.0
1-2020,1,2020,70760000.0,9150000.0,61610000.0
2-2020,2,2020,67810000.0,7960000.0,59850000.0
3-2020,3,2020,39060000.0,4650000.0,34410000.0
4-2020,4,2020,3010000.0,130000.0,2880000.0
5-2020,5,2020,8430000.0,190000.0,8240000.0
6-2020,6,2020,16489999.999999998,400000.0,16090000.0
7-2020,7,2020,0.0,0.0,0.0
8-2020,8,2020,0.0,0.0,0.0
9-2020,9,2020,0.0,0.0,0.0
